Constituency_No,Constituency_Name,District,Winner_Candidate_2021,Winner_Party_2021,Winner_Votes_2021,Winner_Pct_2021,Margin_2021,Winner_Candidate_2026,Winner_Party_2026,Winner_Votes_2026,Winner_Pct_2026,Margin_2026,Seat_Status,Party_Change,Vote_Swing,Margin_Change,Minority_Pct,Women_Voter_Pct,Unemployment_Pct,SIR_Risk,Region
1,Mekliganj,Cooch Behar,Adhikary Paresh Chandra,AITC,99338,49.98,14685,Dadhiram Ray,BJP,119109,54.42,29584,Flipped,AITC → BJP,4.44,14899,25.54,92.33,3.75,High,North Bengal
2,Mathabhanga,Cooch Behar,Sushil Barman,BJP,113249,52.87,26134,Nisith Pramanik,BJP,143340,59.27,57090,Retained,BJP → BJP,6.4,30956,25.54,92.33,3.75,High,North Bengal
3,Coochbehar Uttar,Cooch Behar,Sukumar Roy,BJP,120483,49.4,14615,Sukumar Roy,BJP,155327,61.11,70384,Retained,BJP → BJP,11.71,55769,25.54,92.33,3.75,High,North Bengal
4,Coochbehar Dakshin,Cooch Behar,Nikhil Ranjan Dey,BJP,91560,46.83,4931,Rathindra Bose,BJP,108482,52.75,22747,Retained,BJP → BJP,5.92,17816,25.54,92.33,3.75,High,North Bengal
5,Sitalkuchi,Cooch Behar,Baren Chandra Barman,BJP,124955,50.8,17815,Sabitri Barman,BJP,144367,51.59,25278,Retained,BJP → BJP,0.79,7463,25.54,92.33,3.75,High,North Bengal
6,Sitai,Cooch Behar,Jagadish Chandra Barma Basunia,AITC,117908,49.42,10112,Sangita Roy,AITC,128188,48.31,2721,Retained,AITC → AITC,-1.11,-7391,25.54,92.33,3.75,High,North Bengal
7,Dinhata,Cooch Behar,Nisith Pramanik,BJP,116035,47.6,57,Ajay Ray,BJP,138255,51.6,17447,Retained,BJP → BJP,4.0,17390,25.54,92.33,3.75,High,North Bengal
8,Natabari,Cooch Behar,Mihir Goswami,BJP,111743,51.45,23440,Girija Shankar Ray,BJP,126911,54.53,34613,Retained,BJP → BJP,3.08,11173,25.54,92.33,3.75,High,North Bengal
9,Tufanganj,Cooch Behar,Malati Rava Roy,BJP,114503,54.69,31198,Malati Rava Roy,BJP,122525,53.08,26457,Retained,BJP → BJP,-1.61,-4741,25.54,92.33,3.75,High,North Bengal
10,Kumargram,Alipurduar,Manoj Kumar Oraon,BJP,111974,48.16,11001,Manoj Kumar Oraon,BJP,143044,57.95,52877,Retained,BJP → BJP,9.79,41876,9.06,93.2,3.65,Medium,North Bengal
