Constituency_No,Constituency_Name,District,Winner_Candidate_2021,Winner_Party_2021,Winner_Votes_2021,Winner_Pct_2021,Margin_2021,Winner_Candidate_2026,Winner_Party_2026,Winner_Votes_2026,Winner_Pct_2026,Margin_2026
1,Mekliganj,Cooch Behar,Adhikary Paresh Chandra,AITC,99338,49.98,14685,Dadhiram Ray,BJP,119109,54.42,29584
2,Mathabhanga,Cooch Behar,Sushil Barman,BJP,113249,52.87,26134,Nisith Pramanik,BJP,143340,59.27,57090
3,Coochbehar Uttar,Cooch Behar,Sukumar Roy,BJP,120483,49.4,14615,Sukumar Roy,BJP,155327,61.11,70384
4,Coochbehar Dakshin,Cooch Behar,Nikhil Ranjan Dey,BJP,91560,46.83,4931,Rathindra Bose,BJP,108482,52.75,22747
5,Sitalkuchi,Cooch Behar,Baren Chandra Barman,BJP,124955,50.8,17815,Sabitri Barman,BJP,144367,51.59,25278
6,Sitai,Cooch Behar,Jagadish Chandra Barma Basunia,AITC,117908,49.42,10112,Sangita Roy,AITC,128188,48.31,2721
7,Dinhata,Cooch Behar,Nisith Pramanik,BJP,116035,47.6,57,Ajay Ray,BJP,138255,51.6,17447
8,Natabari,Cooch Behar,Mihir Goswami,BJP,111743,51.45,23440,Girija Shankar Ray,BJP,126911,54.53,34613
9,Tufanganj,Cooch Behar,Malati Rava Roy,BJP,114503,54.69,31198,Malati Rava Roy,BJP,122525,53.08,26457
10,Kumargram,Alipurduar,Manoj Kumar Oraon,BJP,111974,48.16,11001,Manoj Kumar Oraon,BJP,143044,57.95,52877
11,Kalchini,Alipurduar,Bishal Lama,BJP,103104,52.65,28576,Bishal Lama,BJP,114759,56.64,37843
12,Alipurduars,Alipurduar,Suman Kanjilal,BJP,107333,48.19,16007,Paritosh Das,BJP,143242,61.62,70420
13,Falakata,Alipurduar,Dipak Barman,BJP,102993,46.71,3990,Dipak Barman,BJP,134370,56.95,45999
14,Madarihat,Alipurduar,Manoj Tigga,BJP,90718,54.35,29685,Laxuman Limbu,BJP,102488,57.98,40910
15,Dhupguri,Jalpaiguri,Bishnu Pada Ray,BJP,104688,45.65,4355,Naresh Roy,BJP,134798,54.25,38550
16,Maynaguri,Jalpaiguri,Kaushik Roy,BJP,115306,48.84,11911,Dalim Chandra Roy,BJP,147403,58.62,56503
17,Jalpaiguri,Jalpaiguri,Dr. Pradip Kumar Barma,AITC,95668,42.34,941,Ananta Deb Adhikary,BJP,142987,60.11,68805
18,Rajganj,Jalpaiguri,Khageswar Roy,AITC,104641,48.5,15773,Dinesh Sarkar,BJP,114657,51.1,21477
19,Dabgram-Fulbari,Jalpaiguri,Sikha Chatterjee,BJP,129088,49.85,27593,Sikha Chatterjee,BJP,166300,66.02,97715
20,Mal,Jalpaiguri,Bulu Chik Baraik,AITC,99086,46.46,5465,Sukra Munda,BJP,112095,49.94,15492
21,Nagrakata,Jalpaiguri,Puna Bhengra,BJP,94722,49.55,23475,Puna Bhengra,BJP,103478,50.73,25858
22,Kalimpong,Kalimpong,Ruden Sada Lepcha,IND,58206,37.59,3870,Bharat Kumar Chetri,BJP,84290,49.74,21464
23,Darjeeling,Darjeeling,Neeraj Tamang Zimba,BJP,68907,40.88,21276,Noman Rai,BJP,62076,35.72,6057
24,Kurseong,Darjeeling,Bishnu Prasad Sharma,BJP,73475,41.86,15515,Sonam Lama,BJP,74878,41.18,17007
25,Matigara-Naxalbari,Darjeeling,Anandamay Barman,BJP,139785,58.1,70848,Anandamoy Barman,BJP,166905,66.5,104265
26,Siliguri,Darjeeling,Sankar Ghosh,BJP,89370,50.03,35586,Shankar Ghosh,BJP,120760,65.78,73192
27,Phansidewa,Darjeeling,Durga Murmu,BJP,105651,50.89,27711,Durga Murmu,BJP,118241,56.92,45263
28,Chopra,Uttar Dinajpur,Hamidul Rahaman,AITC,124923,61.2,64905,Hamidul Rahaman,AITC,120986,57.3,69124
29,Islampur,Uttar Dinajpur,Abdul Karim Chowdhary,AITC,100131,58.91,37440,Kanaia Lal Agarwal,AITC,108117,58.14,40063
30,Goalpokhar,Uttar Dinajpur,Md. Ghulam Rabbani,AITC,105649,65.4,73514,Md. Ghulam Rabbani,AITC,122105,66.66,83790
31,Chakulia,Uttar Dinajpur,Azad Minhajul Arfin,AITC,86311,49.78,33837,Minhajul Arfin Azad,AITC,90277,45.34,28011
32,Karandighi,Uttar Dinajpur,Goutam Paul,AITC,116594,54.7,36626,Biraj Biswas,BJP,96260,43.76,19869
33,Hemtabad,Uttar Dinajpur,Satyajit Barman,AITC,116425,52.14,27215,Haripada Barman,BJP,115529,48.26,12361
34,Kaliaganj,Uttar Dinajpur,Soumen Roy,BJP,116768,48.71,21820,Utpal Brahmacharo,BJP,158349,61.32,76425
35,Raiganj,Uttar Dinajpur,Krishna Kalyani,BJP,79775,49.44,20748,Koushik Chowdhury,BJP,105561,63.69,58641
36,Itahar,Uttar Dinajpur,Mosaraf Hussen,AITC,114645,59.1,43975,Mosaraf Hussen,AITC,98172,48.09,27878
37,Kushmandi,Dakshin Dinajpur,Rekha Roy,AITC,89968,48.88,12584,Tapas Chandra Roy,BJP,97437,48.83,9063
38,Kumarganj,Dakshin Dinajpur,Toraf Hossain Mandal,AITC,89763,52.52,29367,Toraf Hossain Mandal,AITC,82791,47.62,6685
39,Balurghat,Dakshin Dinajpur,Ashok Kumar Lahiri,BJP,72129,47.42,13436,Bidyut Kumar Roy,BJP,95697,60.45,47576
40,Tapan,Dakshin Dinajpur,Budhrai Tudu,BJP,84381,45.29,1650,Budhrai Tudu,BJP,105780,56.66,36987
41,Gangarampur,Dakshin Dinajpur,Satyendra Nath Ray,BJP,88724,46.82,4592,Satyendra Nath Roy,BJP,105083,54.5,28339
42,Harirampur,Dakshin Dinajpur,Biplab Mitra,AITC,96131,51.23,22672,Biplab Mitra,AITC,93098,45.62,1986
43,Habibpur,Malda,Joyel Murmu,BJP,94075,47.52,19517,Joyel Murmu,BJP,142062,62.41,78188
44,Gazole,Malda,Chinmoy Deb Barman,BJP,100655,45.5,1798,Chinmoy Deb Barman,BJP,131541,53.94,38192
45,Chanchal,Malda,Nihar Ranjan Ghosh,AITC,115966,58.08,67338,Prasun Banerjee,AITC,128014,54.61,63874
46,Harischandrapur,Malda,Tajmul Hossain,AITC,122527,60.31,77473,Md. Matibur Rahaman,AITC,113104,49.8,48271
47,Malatipur,Malda,Abdur Rahim Boxi,AITC,126157,68.02,91949,Abdur Rahim Boxi,AITC,104123,51.54,59747
48,Ratua,Malda,Samar Mukherjee,AITC,130674,59.63,75650,Samar Mukherjee,AITC,106834,45.82,32562
49,Manikchak,Malda,Sabitri Mitra,AITC,110234,53.26,33878,Gour Chandra Mandal,BJP,110118,48.86,38192
50,Maldaha,Malda,Gopal Chandra Saha,BJP,93398,45.23,15456,Gopal Chandra Saha,BJP,123656,56.0,50128
51,English Bazar,Malda,Sreerupa Mitra Chaudhury,BJP,107755,49.96,20099,Amlan Bhaduri,BJP,154096,65.7,93784
52,Mothabari,Malda,Yeasmin Sabina,AITC,97397,59.7,56573,Md. Najrul Islam,AITC,65705,40.51,10496
53,Sujapur,Malda,Md Abdul Ghani,AITC,152445,73.44,130163,Sabina Yeasmin,AITC,112795,49.66,60287
54,Baisnabnagar,Malda,Chandana Sarkar,AITC,83061,39.81,2471,Raju Karmakar,BJP,108692,48.34,46881
55,Farakka,Murshidabad,Manirul Islam,AITC,102319,54.89,59945,Motab Shaikh,INC,63050,36.06,8193
56,Samserganj,Murshidabad,Amirul Islam,AITC,96417,51.13,26379,Mohammad Noor Alam,AITC,61918,39.84,7587
57,Suti,Murshidabad,Emani Biswas,AITC,127351,58.87,70701,Emani Biswas,AITC,81330,36.83,12357
58,Jangipur,Murshidabad,Zakir Hossain,AITC,136444,68.82,92480,Chitta Mukherjee,BJP,91201,42.9,10542
59,Raghunathganj,Murshidabad,Akhruzzaman,AITC,126834,66.59,98313,Akhruzzaman,AITC,88909,45.65,40555
60,Sagardighi,Murshidabad,Subrata Saha,AITC,95189,50.95,50206,Bayron Biswas,AITC,90781,43.72,34260
61,Lalgola,Murshidabad,Ali Mohammad,AITC,107860,56.64,60707,Abdul Aziz,AITC,67954,37.72,18960
62,Bhagawangola,Murshidabad,Idris Ali,AITC,153795,68.05,106008,Reyat Hossain Sarkar,AITC,105997,48.57,56407
63,Raninagar,Murshidabad,Abdul Soumik Hossain,AITC,134957,60.79,79702,Julfikar Ali,INC,79423,33.48,2701
64,Murshidabad,Murshidabad,Gouri Sankar Ghosh,BJP,95967,41.86,2491,Gouri Shankar Ghosh,BJP,114443,48.18,31521
65,Nabagram,Murshidabad,Kanai Chandra Mondal,AITC,100455,48.18,35533,Dilip Saha,BJP,78739,35.54,5919
66,Khargram,Murshidabad,Ashis Marjit,AITC,93255,50.15,32573,Mitali Mal,BJP,77748,38.02,9333
67,Burwan,Murshidabad,Jiban Krishna Saha,AITC,81890,46.32,2749,Sukhen Kumar Bagdi,BJP,91661,48.52,22300
68,Kandi,Murshidabad,Apurba Sarkar (David),AITC,95399,51.16,38080,Gargi Das Ghosh,BJP,73355,36.78,10335
69,Bharatpur,Murshidabad,Humayun Kabir,AITC,96226,50.9,43083,Mustafizur Rahaman,AITC,90870,42.38,30753
70,Rejinagar,Murshidabad,Rabiul Alam Chowdhury,AITC,118494,56.31,68268,Humayun Kabir,AJUP,123536,51.62,58876
71,Beldanga,Murshidabad,Hasanuzzaman Sk,AITC,112862,55.19,53832,Bharat Kumar Jhawar,BJP,72872,31.88,13208
72,Baharampur,Murshidabad,Subrata Maitra (Kanchan),BJP,89340,45.21,26852,Subrata Maitra,BJP,91088,40.62,17548
73,Hariharpara,Murshidabad,Niamot Sheikh,AITC,102660,47.51,14066,Niamot Sheikh,AITC,80338,34.14,12665
74,Nowda,Murshidabad,Sahina Momtaz Khan,AITC,117684,58.16,74153,Humayun Kabir,AJUP,86463,39.02,27943
75,Domkal,Murshidabad,Jafikul Islam,AITC,127671,56.45,47229,Md. Mostafijur Rahaman,CPI(M),107882,41.85,16296
76,Jalangi,Murshidabad,Abdur Razzak,AITC,123840,55.74,79276,Babar Ali,AITC,88684,35.01,21516
77,Karimpur,Nadia,Bimalendu Sinha Roy,AITC,110911,50.07,23575,Samarendranath Ghosh,BJP,105234,43.68,10185
78,Tehatta,Nadia,Tapas Kumar Saha,AITC,97848,44.86,6915,Subrata Kabiraj,BJP,112138,48.01,28253
79,Palashipara,Nadia,Dr. Manik Bhattacharya,AITC,110274,54.22,51336,Rukbanur Rahman,AITC,89241,41.58,11454
80,Kaliganj,Nadia,Nasiruddin Ahamed (Lal),AITC,111696,53.35,46987,Alifa Ahmed,AITC,89292,40.77,10172
81,Nakashipara,Nadia,Kallol Khan,AITC,104812,50.01,21271,Shantanu Dey,BJP,100600,48.85,17327
82,Chapra,Nadia,Rukbanur Rahman,AITC,73866,34.65,12118,Jeber Sekh,AITC,97085,46.06,30780
83,Krishnanagar Uttar,Nadia,Mukul Roy,BJP,109357,54.19,35089,Tarak Nath Chatterjee,BJP,133211,65.93,78361
84,Nabadwip,Nadia,Pundarikakshya Saha,AITC,102170,48.52,18571,Srutisekhar Goswami,BJP,108631,49.79,21444
85,Krishnanagar Dakshin,Nadia,Ujjal Biswas,AITC,91738,46.88,9305,Sadhan Ghosh,BJP,102862,52.19,27801
86,Santipur,Nadia,Jagannath Sarkar,BJP,109722,49.94,15878,Swapan Kumar Das,BJP,117941,54.86,45376
87,Ranaghat Uttar Paschim,Nadia,Parthasarathi Chatterjee,BJP,113637,50.91,23128,Parthasarathi Chatterjee,BJP,129046,59.43,57551
88,Krishnaganj,Nadia,Ashis Kumar Biswas,BJP,117668,50.73,21277,Sukanta Biswas,BJP,139838,60.15,60899
89,Ranaghat Uttar Purba,Nadia,Ashim Biswas,BJP,116786,54.39,31782,Ashim Biswas,BJP,126235,59.71,51743
90,Ranaghat Dakshin,Nadia,Mukut Mani Adhikari,BJP,119260,49.34,16515,Ashim Kumar Biswas,BJP,140010,60.17,64464
91,Chakdaha,Nadia,Bankim Chandra Ghosh,BJP,99368,46.86,11680,Bankim Chandra Ghosh,BJP,115433,54.78,36945
92,Kalyani,Nadia,Ambika Roy,BJP,97026,44.04,2206,Anupam Biswas,BJP,114469,53.12,34792
93,Haringhata,Nadia,Asim Kumar Sarkar,BJP,97666,46.31,15200,Asim Kumar Sarkar,BJP,107900,50.72,22055
94,Bagda,North 24 Parganas,Biswajit Das,BJP,108111,49.41,9792,Soma Thakur,BJP,121307,55.84,34616
95,Bangaon Uttar,North 24 Parganas,Ashok Kirtania,BJP,97761,47.65,10488,Ashok Kirtania,BJP,119317,56.46,40670
96,Bangaon Dakshin,North 24 Parganas,Swapan Majumder,BJP,97828,47.07,2004,Swapan Majumder,BJP,119399,56.27,37814
97,Gaighata,North 24 Parganas,Subrata Thakur,BJP,100808,47.27,9578,Subrata Thakur,BJP,121322,57.99,47683
98,Swarupnagar,North 24 Parganas,Bina Mondal,AITC,99784,47.11,34800,Bina Mondal,AITC,94813,43.47,16017
99,Baduria,North 24 Parganas,Abdur Rahim Quazi,AITC,109701,51.53,56444,Burhanul Mokaddin,AITC,103334,45.45,40061
100,Habra,North 24 Parganas,Jyoti Priya Mallick,AITC,90533,44.34,3841,Debdas Mondal,BJP,104645,52.66,31462
101,Ashoknagar,North 24 Parganas,Narayan Goswami,AITC,93587,43.18,23532,Dr. Sumay Hira,BJP,96807,44.05,9408
102,Amdanga,North 24 Parganas,Rafiqur Rahaman,AITC,88935,42.0,25480,Mohammad Kasem Siddique,AITC,81670,38.25,2995
103,Bijpur,North 24 Parganas,Subodh Adhikary,AITC,66625,47.9,13347,Sudipta Das,BJP,71799,49.56,13343
104,Naihati,North 24 Parganas,Partha Bhowmick,AITC,77753,49.69,18855,Sumitro Chatterjee,BJP,77484,49.15,10430
105,Bhatpara,North 24 Parganas,Pawan Kumar Singh,BJP,57244,53.4,13687,Pawan Kumar Singh,BJP,61683,58.02,22807
106,Jagatdal,North 24 Parganas,Somenath Shyam Ichini,AITC,87030,48.01,18364,Rajesh Kumar,BJP,94351,51.5,20909
107,Noapara,North 24 Parganas,Manju Basu,AITC,94203,48.9,26710,Arjun Singh,BJP,94415,48.37,17656
108,Barrackpur,North 24 Parganas,Raju Chakraborty (Raj),AITC,68887,46.47,9222,Kaustuv Bagchi,BJP,78466,50.65,15822
109,Khardaha,North 24 Parganas,Kajal Sinha,AITC,89807,49.04,28140,Kalyan Chakraborti,BJP,97752,49.75,24486
110,Dum Dum Uttar,North 24 Parganas,Chandrima Bhattacharya,AITC,95465,44.79,28499,Sourav Sikdar,BJP,103284,46.24,26404
111,Panihati,North 24 Parganas,Nirmal Ghosh,AITC,86495,49.61,25177,Ratna Debnath,BJP,87977,50.28,28836
112,Kamarhati,North 24 Parganas,Madan Mitra,AITC,73845,51.17,35408,Madan Mitra,AITC,64817,43.71,5646
113,Baranagar,North 24 Parganas,Tapas Roy,AITC,85615,53.42,35147,Sajal Ghosh,BJP,81730,48.26,16956
114,Dum Dum,North 24 Parganas,Bratya Basu,AITC,87999,47.48,26731,Arijit Bakshi,BJP,99181,50.07,25273
115,Rajarhat New Town,North 24 Parganas,Tapash Chatterjee,AITC,127374,54.22,56432,Piyush Kanodia,BJP,106564,42.19,316
116,Bidhannagar,North 24 Parganas,Sujit Bose,AITC,75912,46.85,7997,Sharadwat Mukherjee,BJP,97979,55.2,37330
117,Rajarhat Gopalpur,North 24 Parganas,Aditi Munshi,AITC,87650,49.04,25296,Tarunjyoti Tewari,BJP,101277,51.74,27757
118,Madhyamgram,North 24 Parganas,Rathin Ghosh,AITC,112741,48.93,48126,Rathin Ghosh,AITC,95995,41.21,2399
119,Barasat,North 24 Parganas,Chiranjeet Chakrabarti,AITC,104431,46.27,23783,Sankar Chatterjee,BJP,122171,51.64,34558
120,Deganga,North 24 Parganas,Rahima Mondal,AITC,100105,46.7,32537,Anisur Rahaman Bidesh,AITC,101114,43.31,17818
121,Haroa,North 24 Parganas,Islam Sk Nurul (Haji),AITC,130398,57.34,80978,Abdul Matin Muhammad,AITC,117591,49.52,49341
122,Minakhan,North 24 Parganas,Usha Rani Mondal,AITC,109818,51.72,55830,Usha Rani Mondal,AITC,92079,42.66,32292
123,Sandeshkhali,North 24 Parganas,Sukumar Mahata,AITC,112450,54.64,39685,Sanat Sardar,BJP,107189,49.58,17510
124,Basirhat Dakshin,North 24 Parganas,Dr. Saptarshi Banerjee,AITC,115873,49.15,24468,Surajit Mitra,AITC,112965,45.09,9544
125,Basirhat Uttar,North 24 Parganas,Rafikul Islam Mondal,AITC,137216,57.55,89351,Md. Tauseffur Rahman,AITC,115503,48.42,57270
126,Hingalganj,North 24 Parganas,Debes Mandal,AITC,104706,53.78,24916,Rekha Patra,BJP,100207,48.39,5421
127,Gosaba,South 24 Parganas,Jayanta Naskar,AITC,105723,53.99,23709,Bikarna Naskar,BJP,108492,51.34,16100
128,Basanti,South 24 Parganas,Shyamal Mondal,AITC,111453,52.1,50642,Nilima Mistry,AITC,127495,54.99,56181
129,Kultali,South 24 Parganas,Ganesh Chandra Mondal,AITC,117238,51.57,47177,Ganesh Chandra Mondal,AITC,146435,57.75,59276
130,Patharpratima,South 24 Parganas,Samir Kumar Jana,AITC,120181,51.85,22134,Samir Kumar Jana,AITC,117164,47.62,4873
131,Kakdwip,South 24 Parganas,Manturam Pakhira,AITC,114493,52.14,25302,Dipankar Jana,BJP,109373,47.29,4760
132,Sagar,South 24 Parganas,Bankim Chandra Hazra,AITC,129000,53.96,29846,Sumanta Mandal,BJP,127802,49.52,7881
133,Kulpi,South 24 Parganas,Jogaranjan Halder,AITC,96577,50.01,33818,Barnali Dhara,AITC,91266,43.94,10383
134,Raidighi,South 24 Parganas,Aloke Jaldata,AITC,115707,48.47,35568,Tapas Mondal,AITC,118991,46.16,5957
135,Mandirbazar,South 24 Parganas,Joydeb Halder,AITC,95834,48.04,23492,Joydeb Halder,AITC,93686,43.94,1995
136,Jaynagar,South 24 Parganas,Biswanath Das,AITC,104952,51.85,38683,Biswanath Das,AITC,108194,49.38,26350
137,Baruipur Purba,South 24 Parganas,Bivas Sardar (Vobo),AITC,123243,54.75,49641,Bivas Sardar,AITC,120987,50.98,31815
138,Canning Paschim,South 24 Parganas,Paresh Ram Das,AITC,111059,50.86,35243,Paresh Ram Das,AITC,120548,52.26,40665
139,Canning Purba,South 24 Parganas,Saokat Molla,AITC,122301,52.54,53007,Md Baharul Islam,AITC,148687,61.53,91954
